File_name,Avg_red,Avg_green,Avg_blue,Time,Label
D:\Python LCC data\L1\1h09m51s26L1.jpg,77.70357142857142,97.47226190476191,87.59464285714286,095126,1
D:\Python LCC data\L1\2h09m51s36L1.jpg,78.78607142857143,99.03583333333333,92.67011904761905,095136,1
D:\Python LCC data\L1\3h09m51s46L1.jpg,73.03333333333333,92.21464285714286,85.95869047619047,095146,1
D:\Python LCC data\L1\4h09m51s56L1.jpg,68.63988095238095,87.66761904761904,81.41833333333334,095156,1
D:\Python LCC data\L1\5h09m52s06L1.jpg,73.2147619047619,92.1797619047619,86.40559523809524,095206,1
D:\Python LCC data\L1\6h09m52s16L1.jpg,71.37964285714285,90.91333333333333,84.53095238095239,095216,1
D:\Python LCC data\L1\7h09m52s26L1.jpg,70.63821428571428,90.105,83.39011904761905,095226,1
D:\Python LCC data\L1\8h09m52s36L1.jpg,72.05416666666666,92.01214285714286,85.63785714285714,095236,1
D:\Python LCC data\L1\9h09m52s46L1.jpg,71.90678571428572,92.01321428571428,84.71869047619047,095246,1
D:\Python LCC data\L1\10h09m52s56L1.jpg,72.24428571428571,92.32523809523809,84.93142857142857,095256,1
D:\Python LCC data\L1\11h09m53s06L1.jpg,73.74404761904762,92.49119047619048,85.40809523809524,095306,1
D:\Python LCC data\L1\12h09m53s16L1.jpg,73.82904761904761,92.56297619047619,85.42476190476191,095316,1
D:\Python LCC data\L1\13h09m53s26L1.jpg,74.20357142857142,93.28357142857143,86.64166666666667,095326,1
D:\Python LCC data\L1\14h09m53s36L1.jpg,74.26988095238096,93.51202380952381,86.9002380952381,095336,1
D:\Python LCC data\L1\15h09m53s46L1.jpg,74.31285714285714,93.36952380952381,86.72416666666666,095346,1
D:\Python LCC data\L1\16h09m53s56L1.jpg,74.16690476190476,92.83559523809524,85.96,095356,1
D:\Python LCC data\L1\17h09m54s06L1.jpg,73.74404761904762,92.79261904761904,86.0702380952381,095406,1
D:\Python LCC data\L1\18h09m54s16L1.jpg,73.99238095238096,92.9127380952381,86.17107142857142,095416,1
D:\Python LCC data\L1\19h09m54s26L1.jpg,74.07071428571429,93.32190476190476,86.90404761904762,095426,1
D:\Python LCC data\L1\20h09m54s36L1.jpg,74.40892857142858,93.64416666666666,87.1175,095436,1
D:\Python LCC data\L1\21h09m54s46L1.jpg,74.64678571428571,94.04702380952381,86.82761904761905,095446,1
D:\Python LCC data\L1\22h09m54s56L1.jpg,74.37511904761905,93.03023809523809,85.60880952380953,095456,1
D:\Python LCC data\L1\23h09m55s06L1.jpg,73.30654761904762,92.6,86.45809523809524,095506,1
D:\Python LCC data\L1\24h09m55s16L1.jpg,73.6595238095238,92.94321428571429,85.91595238095238,095516,1
D:\Python LCC data\L1\25h09m55s26L1.jpg,71.1677380952381,89.45630952380952,82.76142857142857,095526,1
D:\Python LCC data\L1\26h09m55s36L1.jpg,73.6672619047619,93.09511904761905,86.57119047619048,095536,1
D:\Python LCC data\L1\27h09m55s46L1.jpg,73.26571428571428,91.96345238095238,84.71690476190476,095546,1
D:\Python LCC data\L1\28h09m55s56L1.jpg,73.38511904761904,92.4327380952381,85.24071428571429,095556,1
D:\Python LCC data\L1\29h09m56s06L1.jpg,73.87845238095238,93.26892857142857,86.24535714285715,095606,1
D:\Python LCC data\L1\30h09m56s16L1.jpg,73.68964285714286,92.88107142857143,85.94404761904762,095616,1
D:\Python LCC data\L1\31h09m56s26L1.jpg,74.25857142857143,93.64440476190477,86.69595238095238,095626,1
